Pagina,Patron_Censura,Texto_Detectado,Contexto_60chars,Personas_en_Pagina
937,\b[jJ]ane\s+[dD]oe\b,Jane Doe,"S MOTION PURSUANT TO RULE 21 FOR JOINDER IN ACTION COME NOW Jane Doe #3 and Jane Doe #4 also re ferred to as the new victims, by",
937,\b[jJ]ane\s+[dD]oe\b,Jane Doe,"T TO RULE 21 FOR JOINDER IN ACTION COME NOW Jane Doe #3 and Jane Doe #4 also re ferred to as the new victims, by and through und",
937,\b[jJ]ane\s+[dD]oe\b,Jane Doe,n that they not re-litigate any issues already litigated by Jane Doe #1 and Jane Doe #2 also re ferred to as the current vi ctim,
937,\b[jJ]ane\s+[dD]oe\b,Jane Doe,re-litigate any issues already litigated by Jane Doe #1 and Jane Doe #2 also re ferred to as the current vi ctims. The new victi,
937,\b[jJ]ane\s+[dD]oe\b,Jane Doe,"grant the motion. 1 1 As minor victims of sexual offenses, Jane Doe #3 and Jane Doe #4 desire to proceed by way of pseudonym fo",
937,\b[jJ]ane\s+[dD]oe\b,Jane Doe,"n. 1 1 As minor victims of sexual offenses, Jane Doe #3 and Jane Doe #4 desire to proceed by way of pseudonym for the same reaso",
937,\b[jJ]ane\s+[dD]oe\b,Jane Doe,re to proceed by way of pseudonym for the same reasons that Jane Doe #1 and Jane Doe #2 proceeded in this Case 9:08-cv-80736-KAM,
937,\b[jJ]ane\s+[dD]oe\b,Jane Doe,way of pseudonym for the same reasons that Jane Doe #1 and Jane Doe #2 proceeded in this Case 9:08-cv-80736-KAM Document 279 En,
938,\b[jJ]ane\s+[dD]oe\b,Jane Doe,"BACKGROUND As the Court is aware, more than six years ago, Jane Doe #1 filed the present action against the Government, allegin",Jeffrey Epstein
938,\b[jJ]ane\s+[dD]oe\b,Jane Doe,". At the first court hearing on the case, the Court allowed Jane Doe #2 to also join the action. Both Jane Doe #1 and Jane Doe #",Jeffrey Epstein
938,\b[jJ]ane\s+[dD]oe\b,Jane Doe,the Court allowed Jane Doe #2 to also join the action. Both Jane Doe #1 and Jane Doe #2 specifically argued that the government,Jeffrey Epstein
938,\b[jJ]ane\s+[dD]oe\b,Jane Doe,d Jane Doe #2 to also join the action. Both Jane Doe #1 and Jane Doe #2 specifically argued that the government had failed to pr,Jeffrey Epstein
938,\b[jJ]ane\s+[dD]oe\b,Jane Doe,the Government argued that the CVRA rights did not apply to Jane Doe #1 and Jane Doe #2 because no federal charges had ever been,Jeffrey Epstein
938,\b[jJ]ane\s+[dD]oe\b,Jane Doe,rgued that the CVRA rights did not apply to Jane Doe #1 and Jane Doe #2 because no federal charges had ever been filed against J,Jeffrey Epstein
938,\b[jJ]ane\s+[dD]oe\b,Jane Doe,"uling, the Court concluded that the CVRA extended rights to Jane Doe #1 and Jane Doe #2 even though federal charges were never f",Jeffrey Epstein
938,\b[jJ]ane\s+[dD]oe\b,Jane Doe,concluded that the CVRA extended rights to Jane Doe #1 and Jane Doe #2 even though federal charges were never filed. DE 189. Th,Jeffrey Epstein
939,\b[jJ]ane\s+[dD]oe\b,Jane Doe,"3 Jane Doe #3s Circumstances As with Jane Doe #1 and Jane Doe #2, Jane",Ghislaine Maxwell
939,\b[jJ]ane\s+[dD]oe\b,Jane Doe,"3 Jane Doe #3s Circumstances As with Jane Doe #1 and Jane Doe #2, Jane Doe #3 was repeatedly sexually abu",Ghislaine Maxwell
939,\b[jJ]ane\s+[dD]oe\b,Jane Doe,"3 Jane Doe #3s Circumstances As with Jane Doe #1 and Jane Doe #2, Jane Doe #3 was repeatedly sexually abused by Epstein.",Ghislaine Maxwell
939,\b[jJ]ane\s+[dD]oe\b,Jane Doe,"Doe #3s Circumstances As with Jane Doe #1 and Jane Doe #2, Jane Doe #3 was repeatedly sexually abused by Epstein. The Governmen",Ghislaine Maxwell
939,\b[jJ]ane\s+[dD]oe\b,Jane Doe,"ually abused by Epstein. The Government then concealed from Jane Doe #3 the existence of its NPA from Jane Doe #3, in violation",Ghislaine Maxwell
939,\b[jJ]ane\s+[dD]oe\b,Jane Doe,"en concealed from Jane Doe #3 the existence of its NPA from Jane Doe #3, in violation of her rights under the CVRA. If allowed t",Ghislaine Maxwell
939,\b[jJ]ane\s+[dD]oe\b,Jane Doe,"her rights under the CVRA. If allowed to join this action, Jane Doe #3 would prove the following: In 1999, Jane Doe #3 was appr",Ghislaine Maxwell
939,\b[jJ]ane\s+[dD]oe\b,Jane Doe,"his action, Jane Doe #3 would prove the following: In 1999, Jane Doe #3 was approached by Ghislaine Maxwell, one of the main wom",Ghislaine Maxwell
939,\b[jJ]ane\s+[dD]oe\b,Jane Doe,"ipated in Epsteins sexual exploitation of minors, including Jane Doe #3. Maxwell persuaded Jane Doe #3 who was then fifteen year",Ghislaine Maxwell
939,\b[jJ]ane\s+[dD]oe\b,Jane Doe,"itation of minors, including Jane Doe #3. Maxwell persuaded Jane Doe #3 who was then fifteen years old to come to Epsteins mansi",Ghislaine Maxwell
