Pagina,Palabras,Menciones_Censuradas_REDACTED,Evasiones_Detectadas,Tipos_Evasion,Indicador_Positivo,Indicador_Negativo,Indice_Sentimiento,Clasificacion_Sentimiento,Hits_Propiedades,Hits_Aviones_Logistica,Hits_Abuso_Menores,Hits_Ambito_Legal,Tema_Dominante,Años_Mencionados,Personas_Presentes,Personas_Count,Fuente
1825,198,0,0,,1,1,0.0,Neutral / Procedimental,0,0,0,1,Ámbito Legal,,,0,TXT Consolidado
1826,195,0,0,,1,1,0.0,Neutral / Procedimental,0,0,0,0,Sin tema dominante,,,0,TXT Consolidado
1827,168,0,0,,1,0,1.0,Positivo,1,0,0,2,Ámbito Legal,,,0,TXT Consolidado
1828,205,0,0,,1,0,1.0,Positivo,0,0,0,1,Ámbito Legal,,,0,TXT Consolidado
1829,198,0,0,,1,0,1.0,Positivo,0,0,0,2,Ámbito Legal,,,0,TXT Consolidado
1830,188,0,0,,1,0,1.0,Positivo,0,0,1,1,Abuso / Menores,,,0,TXT Consolidado
1831,199,0,0,,1,0,1.0,Positivo,0,0,0,3,Ámbito Legal,,,0,TXT Consolidado
1832,200,0,0,,1,0,1.0,Positivo,0,0,2,7,Ámbito Legal,,,0,TXT Consolidado
1833,175,0,1,Objection,1,1,0.0,Neutral / Procedimental,0,0,0,0,Sin tema dominante,,,0,TXT Consolidado
1834,201,0,1,Objection,1,1,0.0,Neutral / Procedimental,0,0,0,1,Ámbito Legal,,,0,TXT Consolidado
1835,186,0,0,,1,0,1.0,Positivo,0,0,0,0,Sin tema dominante,,,0,TXT Consolidado
1836,195,0,0,,1,0,1.0,Positivo,0,0,0,3,Ámbito Legal,,,0,TXT Consolidado
1837,198,0,0,,0,0,0.0,Neutral,0,0,0,2,Ámbito Legal,,,0,TXT Consolidado
1838,218,0,0,,2,0,1.0,Positivo,0,0,0,1,Ámbito Legal,,,0,TXT Consolidado
1839,197,0,0,,1,0,1.0,Positivo,0,0,0,1,Ámbito Legal,,,0,TXT Consolidado
1840,179,0,0,,1,0,1.0,Positivo,1,0,0,0,Propiedades,,,0,TXT Consolidado
1841,176,0,0,,1,0,1.0,Positivo,0,0,0,2,Ámbito Legal,,,0,TXT Consolidado
1842,207,0,0,,1,0,1.0,Positivo,0,0,0,1,Ámbito Legal,,,0,TXT Consolidado
1843,186,0,0,,1,0,1.0,Positivo,0,0,0,0,Sin tema dominante,,,0,TXT Consolidado
1844,201,0,1,Objection,1,0,1.0,Positivo,0,0,1,1,Abuso / Menores,,,0,TXT Consolidado
1845,111,0,0,,2,0,1.0,Positivo,0,0,0,2,Ámbito Legal,,,0,TXT Consolidado
1846,21,0,0,,0,0,0.0,Neutral,0,0,0,1,Ámbito Legal,,,0,TXT Consolidado
1847,15,0,0,,0,0,0.0,Neutral,0,0,0,0,Sin tema dominante,,,0,TXT Consolidado
1848,117,0,0,,1,0,1.0,Positivo,0,0,0,1,Ámbito Legal,2016,Ghislaine Maxwell; Virginia Giuffre,2,TXT Consolidado
1849,240,0,0,,0,0,0.0,Neutral,0,0,0,0,Sin tema dominante,,,0,TXT Consolidado
1850,228,0,0,,0,0,0.0,Neutral,0,0,0,0,Sin tema dominante,,,0,TXT Consolidado
1851,221,0,1,Don't know,0,1,-1.0,Altamente Negativo,0,0,0,0,Sin tema dominante,,,0,TXT Consolidado
1852,252,0,0,,0,0,0.0,Neutral,0,0,0,0,Sin tema dominante,,,0,TXT Consolidado
1853,159,0,0,,1,0,1.0,Positivo,0,0,0,1,Ámbito Legal,2016,,0,TXT Consolidado
1854,111,0,0,,1,0,1.0,Positivo,0,0,0,1,Ámbito Legal,2016,Ghislaine Maxwell; Virginia Giuffre,2,TXT Consolidado
1855,199,0,2,Objection,0,0,0.0,Neutral,0,0,0,0,Sin tema dominante,,Ghislaine Maxwell,1,TXT Consolidado
1856,159,0,0,,1,0,1.0,Positivo,0,0,0,1,Ámbito Legal,2016,,0,TXT Consolidado
1857,20,0,0,,0,0,0.0,Neutral,0,0,0,1,Ámbito Legal,,,0,TXT Consolidado
